story_id,story_name,synopsis,length,rating,n_votes,total_readers,author_id,author,added_on,codes,slavery,nc
33.0,Amber In A Box,A short story about a slave girl mailed to another master for the weekend entertainment.,29081.0,9.0,13.0,83989,27.0,MrBondskin,"Jul 14, 2000","['M/f', 'incest', 'modification', 'scatology', 'WaterSport', 'S/M', 'torture', 'Serious']",0.0,0.0
34.0,A Slave's Road,"This story is about a man coming to terms with his submissive fantasies versus the reality of being enslaved. The story contains FMm, foot fetish, humiliation and most other acts and desires in a D/s relationship.",189613.0,9.5,27.0,239280,28.0,Neil,"Jul 15, 2000","['F/m', 'MF/m', 'D/s', 'feet', 'humiliation', 'Serious']",0.0,0.0
35.0,Tortured Teacher,An innocent young high-school teacher is blackmailed into prostitution by her male (and one female!) students.,128613.0,7.5,7.0,173366,29.0,Exacting Master,"Jul 15, 2000","['M+/f', 'F/f', 'slavery', 'torture', 'nc', 'Serious']",1.0,1.0
36.0,Rubber In The Night,A young woman on her Vegas vacation is invited to a private BDSM party  and  finds herself the main stage attraction.,45698.0,6.5,6.0,45166,27.0,MrBondskin,"Jul 17, 2000","['MF/f', 'modification', 'WaterSport', 'latex', 'humiliation', 'torture', 'Serious']",0.0,0.0
37.0,The Sailboat,A short story about consentaneous bondage play on a sailboat.,4494.0,6.0,10.0,16285,17.0,Bruce Boxer,"Jul 17, 2000","['M/f', 'bondage', 'Serious']",0.0,0.0
38.0,Slave Teacher,A young teacher discovers a sinister secret of her two colleagues and is forced into becoming their sex slave. Things soon turn from bad to worse and she is enslaved by yet more of her colleagues and even some of her students.,128309.0,8.5,8.0,162093,31.0,Road Runner,"Jul 17, 2000","['MF/f', 'S/M', 'humiliation', 'nc', 'Serious']",0.0,1.0
39.0,Deanna's Tao (Book Two),"Great sequel of the first part of Dee's Tao. If you like the first one, don't miss this!",112908.0,7.5,4.0,39348,7.0,Andante,"Jul 18, 2000","['F/f', 'BDSM', 'consensual', 'humiliation', 'torture', 'Serious']",0.0,0.0
40.0,Supergirl Fallen,"Supergirl is capture by Catwoman and an evil scientist. She is tortured, enslaved and finally transformed into the ultimate sex slave.",71414.0,6.0,3.0,53715,25.0,Citizen Bane,"Jul 18, 2000","['M+/f', 'F/f', 'bondage', 'nc', 'Serious']",0.0,1.0
41.0,Sweet Butterfly,"A short story.  She was bound, hopeless and waiting for the gentle touch of butterfly.",7414.0,8.0,5.0,12158,32.0,Chelsea Shepard,"Jul 19, 2000","['M/f', 'bondage', 'Serious']",0.0,0.0
42.0,Laura's Night Out,Slave Laura was taken to a SM club and enjoyed one night stay in the torture room.,32247.0,7.5,2.0,19620,33.0,MMark,"Jul 19, 2000","['M/f', 'BDSM', 'bondage', 'Serious']",0.0,0.0
43.0,Black Madame,A story about a black dominant lady and her slaves. Come and get under the feet of your mistresses.,80479.0,8.5,7.0,64870,34.0,Cmoon01,"Jul 19, 2000","['F/m', 'BDSM', 'humiliation', 'Serious']",0.0,0.0
44.0,Reality Sucks,"Melissa likes to fantasize about being turned into a sex slave and humiliated. But when her fantasy comes true, she finds it to be rather disappointing--or does she?",24922.0,5.5,4.0,19834,31.0,Road Runner,"Jul 20, 2000","['M+/f', 'teen', 'nc', 'Serious']",0.0,1.0
45.0,Jim: The Story of a Boy's Coming of Age,"Under the guidance of his uncle, a young boy goes through a very special rite of passage, that is, by acquiring two sex slaves.",49690.0,7.5,5.0,29723,31.0,Road Runner,"Jul 20, 2000","['MF/mf', 'bondage', 'nc', 'Serious']",0.0,1.0
46.0,Bridgette Michelle: Diary of a teen sex slave whore,The personal account of a young lady trained to be an extreme pain and sex slut. Note: Bridgette updates the story of her unique life as time permits.,59593.0,6.0,11.0,144667,27.0,MrBondskin,"Jul 21, 2000","['F/f', 'MF/f', 'bestiality', 'incest', 'modification', 'scatology', 'WaterSport', 'BDSM', 'Serious', 'violent']",0.0,0.0
47.0,Pinky,"A story about the torturous lives of three siblings (two brothers and one sister) focusing on the older brother (Pinky). Story takes them from evil parents to abduction to slavery and ... Not for squeamish. Offbeat. (gay,",67549.0,6.5,7.0,33616,35.0,Ed,"Jul 21, 2000","['MF/mf', 'incest', 'WaterSport', 'BDSM', 'torture', 'Serious']",0.0,0.0
48.0,Nissa's Story,"Written in first person, Nissa's story chronicles the life of a submissive girl from her childhood to her finding that special someone to make her life complete. At an early age, the child enters a rather unique training program where she, and other abandoned girl children, are taught to be the perfect companion and lover to wealthy gentlemen. Please note: Nothing of a sexual nature takes place in the first part of this story, during the girl's childhood, age 5 to 16.",205445.0,9.0,4.0,27873,11.0,Dino Dave,"Jul 22, 2000","['M/f', 'F/f', 'S/M', 'bondage', 'Serious']",0.0,0.0
49.0,Kira's Island,"Man crashes boat on small island, finds a naked and chained girl there. The two work to repair the boat and they return to civilization where the girl is finally freed from her chains.",53013.0,8.5,9.0,20950,11.0,Dino Dave,"Jul 22, 2000","['M/f', 'bondage', 'Serious']",0.0,0.0
50.0,Sorority Guest,Nothing could be better than being a guest of sorority. He came to the sorority party and had a chance to give every girls a good spanking.,112524.0,5.5,2.0,28031,36.0,Solstice,"Jul 23, 2000","['M/f+', 'spanking', 'humiliation', 'Serious']",0.0,0.0
51.0,Eager Beaver's Sorority Initiation,Check out the girl's sorority initiation party with spanking and nice fucking. No serious BDSM scene.,110306.0,2.5,2.0,20302,30.0,Unknown,"Jul 23, 2000","['M/f', 'F+/f+', 'spanking', 'Serious']",0.0,0.0
52.0,On French Soil,This is a slavery story that took place in fifteen century. Sir Edward de Valence came back for his revenge.,153200.0,8.0,3.0,45134,37.0,T.S.Fesseln,"Jul 25, 2000","['M/f', 'F/f', 'bondage', 'historical', 'nc', 'Serious', 'violent']",0.0,1.0
53.0,She Awoke With A Start,"Starting point of a female's initiation into D/s, via forced abduction.",33383.0,6.0,6.0,24740,38.0,Zevrier,"Jul 25, 2000","['M/f+', 'spanking', 'BDSM', 'bondage', 'real', 'reluctant', 'Serious']",0.0,0.0
54.0,The Meek Shall Inherit the Shaft,Story about a young couple turned into sex slaves by a cruel older couple.,25753.0,6.5,4.0,33010,35.0,Ed,"Jul 25, 2000","['MF/mf', 'bestiality', 'BDSM', 'feet', 'Serious']",0.0,0.0
55.0,Master Plaster,"Story follows a young girl through her torments at hands of a cruel roommate. heavy BDSM,torture and incest (mother daughter)",56921.0,8.5,18.0,71486,35.0,Ed,"Jul 25, 2000","['M/f', 'F/f', 'BDSM', 'Serious']",0.0,0.0
