story_id,story_name,synopsis,length,rating,n_votes,total_readers,author_id,author,added_on,codes,slavery,nc,gay,link
1372.0,The Trainer,"Collecting for her brother's paper route, Adrienne knocks on the wrong door, walking into the hands of a man whose job is procuring slaves.",22662.0,9.5,8.0,59881,333,Kallie Thomas,"Dec 10, 2002","['M/f', 'M+/f', 'modification', 'teen', 'toys', 'BDSM', 'slavery', 'bondage', 'real', 'humiliation', 'torture', 'nc', 'Heavy', 'violent']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1372.0
1370.0,The Searcher,"Beautiful blonde rosemary allows herself to be kidnapped into white slavery to search for her younger sister, enduring much humiliation, discipline, betrayal and torture in her quest.",471985.0,9.5,4.0,72309,588,Martin Hughes,"Dec 10, 2002","['M/f+', 'F/f', 'BDSM', 'slavery', 'bondage', 'real', 'humiliation', 'torture', 'nc', 'Serious']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1370.0
1976.0,Miss Yumi Inoue,"Eighteen years old, beautiful, lonely, shy, quiet. A perfect target for the attentions of her sexy Professor...",34085.0,9.5,15.0,41664,385,sarijak,"Oct 2, 2003","['F/f', 'teen', 'slavery', 'chastitybelt', 'college', 'blackmail', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1976.0
1339.0,Forty Four Hours,A woman is forced into a deeper exploration of her desires to experience slavery and bdsm by her domme and her domme's friends.,261269.0,9.5,18.0,154777,582,Kay,"Nov 24, 2002","['F+/f', 'exhibition', 'D/s', 'BDSM', 'feet', 'slavery', 'bondage', 'real', 'reluctant', 'mc', 'humiliation', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1339.0
1336.0,Cindy and Company,"Cindy is the queen of her high school, but her home life is a different matter. When she turns down a date with a nerdy fellow student, she has no idea what she's starting.",407556.0,9.5,20.0,186995,550,pamela,"Nov 20, 2002","['M/f', 'M/f+', 'M+/f', 'M+/f+', 'bestiality', 'incest', 'interracial', 'teen', 'BDSM', 'slavery', 'bondage', 'HighSchool', 'humiliation', 'blackmail', 'torture', 'nc', 'Heavy', 'violent']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1336.0
2018.0,Lisa Meets her Master,"A young sub girl, who had a rough life, is found by a Master who was seeking the perfect slave and her training begins.",435654.0,9.5,16.0,191883,849,GrkDom,"Oct 21, 2003","['M+/f+', 'F+/f', 'exhibition', 'modification', 'WaterSport', 'D/s', 'BDSM', 'slavery', 'bondage', 'real', 'consensual', 'torture', 'Heavy']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2018.0
2270.0,Debbie's Dilemma,Debbie really should not have cheated on Eddie!,17603.0,9.5,12.0,32726,604,Anne Gray,"Feb 16, 2004","['M/f', 'D/s', 'B/D', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2270.0
1276.0,Bubba Seizes the Day,An arrogant female university student/gymnast is abducted by a black janitor and forced into a number of humiliating situations.,188217.0,9.5,4.0,53722,556,Dave Haugen,"Oct 30, 2002","['M/f', 'interracial', 'spanking', 'toys', 'WaterSport', 'BDSM', 'slavery', 'bondage', 'college', 'humiliation', 'nc', 'Serious']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1276.0
1266.0,Vestal Whore: Communion of Degradation,"The girl has always dreamed of becoming a lawyer and as such has previously been a quiet but excellent student. After her father is off to a remote & dangerous part of the country, the virgin girl gets raped, and soon finds out that the more abuse & humiliation that is heaped upon her, the hotter & hornier she gets, and soon becomes a big pain slut taking on all comers  allowing her tormentors to do the most perverse and painful things to her, not to mention all the gang bangs that she goes through.",754850.0,9.5,7.0,250080,554,Toryu,"Oct 26, 2002","['M+/f', 'bestiality', 'exhibition', 'fisting', 'incest', 'interracial', 'BDSM', 'reluctant', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1266.0
1253.0,Even Ponygirls Sometimes Get The Blues,"More adventures of Jessica and Kate as they attempt to escape their naked and chained imprisonment on Rabbit Island. They are smart girls but somehow their captors always seem to get the upper hand. This time they determined to outwit their so-called Masters. Like the previous story, Rabbit Island, this is a leisurely-paced tale of female bondage, punishment, fulfillment and wicked games, non-consensual but generally light and sexy in tone. The story is being posted as I write it, so any reviews and feedback (good or bad) are welcomed.",1304802.0,9.5,36.0,277791,468,Aurelius,"Oct 19, 2002","['M/f', 'M/f+', 'M+/f+', 'modification', 'spanking', 'S/M', 'slavery', 'bondage', 'chastitybelt', 'humiliation', 'torture', 'nc', 'Serious']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1253.0
829.0,Fantasia: Collection Of Viddler's Stories,"The stories by V.P. Viddler. As a master of the story-by- dialogue, the author presents readers with a series of women who enjoy the terrible pain inflicted by men. Stories are very well written, technically speaking.",1496994.0,9.5,14.0,,384,V.P. Viddler,"Mar 22, 2002","['M/f', 'M/f+', 'incest', 'teen', 'D/s', 'S/M', 'bondage', 'humiliation', 'torture', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=829.0
